Number,Pile_Length,Pile_Length_(ft.)
1,10.58,18.58
2,10.58,18.58
3,10.58,18.58
4,10.58,18.58
5,10.58,28.58
6,10.58,26.58
7,10.58,17.58
8,10.58,27.58
9,10.58,27.58
10,10.58,37.58
11,10.58,28.58
12,5.83,1.83
13,5.83,8.83
14,5.83,8.83
15,5.83,8.83
16,10.83,16.83
17,10.83,19.83
18,10.83,18.33
19,10.83,14.83
20,21.33,12.00
21,16.33,27.00
22,21.33,42.00
23,21.33,46.00
24,21.33,46.00
25,31.33,57.00
26,41.08,55.75
27,41.08,55.75
28,41.08,55.75
29,46.33,57.00
30,61.33,77.00
31,61.33,76.00
32,61.33,75.00
33,61.33,75.00
34,61.33,36.00
35,61.33,56.42
36,61.33,45.00
37,61.33,45.42
38,61.33,37.00
39,11.33,8.00
40,5.83,2.83
41,5.83,2.83
42,5.83,2.83
43,5.83,2.83
44,15.83,14.83
45,15.83,16.83
46,15.83,16.83
47,15.83,16.83
48,11.33,11.00
49,21.08,42.75
50,21.08,43.17
51,21.08,43.17
52,21.08,42.75
53,21.08,42.75
54,41.08,31.75
55,41.08,31.75
56,41.08,31.75
57,41.08,36.75
58,41.08,44.75
59,61.08,36.75
60,61.08,55.75
61,61.08,40.17
62,61.08,56.75
63,61.33,26.42
64,61.33,66.00
65,11.33,13.33
66,20.08,38.75
67,20.08,38.75
68,20.08,38.75
69,20.08,38.75
70,20.08,38.75
71,20.05,38.75
72,40.08,54.75
73,40.08,25.75
74,40.08,25.75
75,40.08,54.75
76,40.08,23.75
77,40.08,73.08
78,60.08,57.75
79,60.08,56.75
80,60.08,57.75
81,60.08,58.17
82,61.33,62.00
83,8.42,9.09
84,20.58,16.25
85,20.58,16.25
86,20.55,16.25
87,20.58,16.25
88,20.58,16.25
89,20.55,16.25
90,23.50,29.17
91,20.52,21.19
92,20.52,20.19
93,20.52,20.19
94,20.52,36.19
95,20.52,26.19
96,20.52,22.19
97,38.42,29.51
98,35.83,26.51
99,35.83,27.09
100,35.83,34.51
101,35.83,37.09
102,35.83,31.51
103,34.75,55.42
104,34.75,28.84
105,4.75,14.42
106,19.75,22.42
107,34.75,42.42
108,34.75,55.42
109,4.75,14.42
110,17.25,21.92
111,17.25,21.92
112,17.25,21.92
113,17.25,21.92
114,17.25,21.92
115,17.25,21.92
116,19.75,22.42
117,28.42,32.09
118,28.42,32.09
119,28.42,32.09
120,28.42,32.09
121,28.42,32.09
122,28.42,32.09
123,35.92,46.59
124,40.53,55.51
125,40.83,56.51
126,40.83,67.09
127,40.83,57.09
128,40.83,67.09
129,53.42,55.09
130,50.83,50.34
131,50.83,50.34
132,50.83,45.34
133,50.83,47.76
134,53.42,41.51
135,53.42,41.09
136,5.58,19.25
137,5.58,19.25
138,5.58,19.25
139,6.58,19.25
140,5.58,19.25
141,5.58,19.25
142,20.58,28.25
143,20.58,28.25
144,20.55,28.25
145,20.58,28.25
146,20.58,28.25
147,20.58,28.25
148,28.75,32.42
149,28.75,32.42
150,28.75,32.42
151,28.75,32.42
152,28.75,32.42
153,28.75,32.42
154,39.25,56.92
155,39.25,60.92
156,39.25,59.92
157,39.25,59.34
158,39.25,57.92
159,49.75,47.42
160,49.75,48.42
161,49.75,48.42
162,49.75,48.42
163,53.42,45.09
164,13.42,22.09
165,6.97,26.64
166,6.97,26.64
167,6.97,26.64
168,8.42,22.09
169,21.67,29.34
170,21.67,29.34
171,21.67,29.34
172,28.42,37.09
173,31.67,34.34
174,31.67,35.34
175,31.67,29.34
176,38.42,59.09
177,41.67,61.34
178,41.67,60.34
179,41.67,61.34
180,53.42,49.09
181,13.42,11.59
182,13.42,14.09
183,10.83,26.50
184,10.83,24.50
185,10.83,33.92
186,10.83,32.92
187,10.83,16.09
188,15.42,18.51
189,15.42,28.09
190,15.42,29.09
191,15.42,29.09
192,9.42,14.09
193,9.42,14.09
194,9.42,14.09
195,9.42,14.09
196,9.42,14.09
197,10.58,23.25
198,10.58,23.25
199,10.55,23.25
200,10.58,23.25
201,10.58,23.25
202,10.55,26.25
203,20.55,29.25
204,20.55,31.25
205,20.58,30.25
206,20.55,31.25
207,20.58,31.25
208,20.55,32.25
209,30.58,31.25
210,30.55,32.25
211,30.58,31.25
212,30.58,32.25
213,30.58,31.25
214,30.55,29.25
215,40.83,61.50
216,40.83,61.50
217,40.83,58.50
218,40.83,57.92
219,40.83,57.50
220,50.83,51.50
221,50.83,51.50
222,50.83,49.50
223,50.83,48.50
224,63.42,49.09
225,53.42,52.09
226,22.58,23.25
227,22.58,21.25
228,20.83,22.50
229,20.83,22.50
230,20.83,27.50
231,20.83,25.92
232,22.68,37.25
233,20.83,22.92
234,20.83,26.92
235,20.83,21.50
236,20.83,22.50
237,24.83,33.50
238,24.83,33.50
239,24.83,31.50
240,24.83,32.50
241,10.83,14.50
242,10.83,17.50
243,10.83,14.50
244,10.83,14.50
245,11.67,17.50
246,11.67,17.50
247,11.67,17.50
248,11.67,17.50
249,20.83,26.50
250,20.83,31.50
251,20.83,28.50
252,20.83,26.50
253,25.83,34.50
254,25.83,34.50
255,25.83,34.50
256,25.83,34.50
257,30.83,29.92
258,30.83,30.92
259,30.83,31.50
260,30.83,34.50
261,40.83,66.50
262,40.83,69.50
263,40.83,68.50
264,40.53,66.50
265,50.83,53.34
266,50.83,54.34
267,50.83,61.76
268,50.83,51.34
269,53.42,52.09
270,53.42,52.09
271,53.42,52.09
272,22.58,38.25
273,22.58,43.25
274,22.58,50.25
275,20.83,29.50
276,20.83,29.50
277,20.83,38.00
278,25.42,31.69
279,26.67,27.34
280,26.67,32.34
281,26.67,26.76
282,23.42,10.51
283,11.67,18.34
284,11.67,18.34
285,11.67,18.34
286,13.42,8.09
287,11.67,22.34
288,11.67,21.34
289,11.67,21.34
290,13.42,16.09
291,21.67,29.34
292,21.67,30.34
293,21.67,30.34
294,28.42,31.09
295,26.67,24.34
296,26.67,35.34
297,26.67,35.34
298,28.42,37.09
299,31.67,37.34
300,31.67,37.34
301,31.67,39.76
302,38.42,63.09
303,41.67,67.34
304,41.67,67.34
305,41.67,67.34
306,53.42,64.09
307,51.67,51.34
308,51.67,50.76
309,51.67,46.34
310,53.42,50.09
311,53.42,49.09
